34,3,
0,0,0
0.02,0,0
0.04,0,0
0.06,0,0
0.08,0,0
0.1,0,0
0,0.02,0
0.02,0.02,7.01856
0.04,0.02,13.65193
0.06,0.02,19.11069
0.08,0.02,22.26431
0.1,0.02,23.25688
0,0.04,0
0.02,0.04,14.42229
0.04,0.04,28.47848
0.06,0.04,40.52651
0.08,0.04,46.68968
0.1,0.04,48.49887
0,0.06,0
0.02,0.06,22.19213
0.04,0.06,45.3132
0.06,0.06,67.82719
0.08,0.06,75.46903
0.1,0.06,77.35924
0,0.08,0
0.02,0.08,29.03301
0.04,0.08,62.75499
0.06,0.08,110
0.08,0.08,110
0.1,0.08,110
0,0.1,0
0.02,0.1,31.18494
0.04,0.1,66.67373
0.06,0.1,110
